資料來源	檔案名稱	頁碼	行號	中文片名	上映日期	國別地區	發行商	製片商	統計起始日	統計結束日	統計週期	本期上映院數	本期銷售票數	本期銷售金額	累計上映天數	上映週數	最大上映院數	累計銷售票數	累計銷售金額	統計中
全國電影票房2018年05/14-05/20統計資訊	131.pdf	4	52	糯爾摩斯	2018-04-04	美國	美商美國派拉蒙影片股份有限公司台灣分公司	PARAMOUNTPICTURESCORPORATION	2018-05-14	2018-05-20	weekly	2	47	17180	NULL	7.0	73	22669	5149545	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	4	53	最酷的旅伴	2018-04-03	法國	海鵬影業有限公司	(匈牙利)FREEWAYENTERTAINMENTKFT.	2018-05-14	2018-05-20	weekly	3	346	73905	NULL	7.0	9	13729	2946960	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	4	54	老闆好壞	2018-03-30	美國	英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司	STXPRODUCTIONS,LLC	2018-05-14	2018-05-20	weekly	2	250	16100	NULL	8.0	39	14164	3156058	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	5	55	一級玩家	2018-03-29	美國	美商華納兄弟（遠東）股份有限公司台灣分公司	WARNER BROS.PICTURESINTERNATIONAL.	2018-05-14	2018-05-20	weekly	56	6340	1592105	NULL	8.0	90	1391357	358165761	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	5	56	香米小情歌	2018-03-23	美國	采昌國際多媒體股份有限公司	(匈牙利)FREEWAYENTERTAINMENTKFT.	2018-05-14	2018-05-20	weekly	1	76	11640	NULL	9.0	6	805	161360	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	5	57	極盜戰	2018-03-16	美國	英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司	STX Productions, LLC	2018-05-14	2018-05-20	weekly	9	1397	148545	NULL	10.0	82	101371	22877294	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	5	58	記憶中的擁抱	2018-03-16	英國	英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司	(德國)STUDIOCANALTV GMBH	2018-05-14	2018-05-20	weekly	1	50	7680	NULL	10.0	16	5384	1194649	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	5	59	裸睡美人	2018-03-16	日本	天馬行空數位有限公司	KING RECORD CO.,LTD.	2018-05-14	2018-05-20	weekly	1	30	3000	NULL	10.0	6	961	200741	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	5	60	英勇勳章	2018-03-09	西班牙	峻龍國際有限公司	(美國)MULTIVISIONNAIRE, INC.	2018-05-14	2018-05-20	weekly	3	204	29310	NULL	11.0	9	2557	523960	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	5	61	宅配男逃亡曲	2018-03-09	南韓	車庫娛樂股份有限公司	CJ E&MCORPORATION	2018-05-14	2018-05-20	weekly	1	71	9630	NULL	11.0	11	1909	412273	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	5	62	先生！我可以喜歡你嗎	2018-03-09	日本	威視股份有限公司	TOKYOBROADCASTINGSYSTEMTELEVISION, INC.	2018-05-14	2018-05-20	weekly	1	34	2810	NULL	11.0	25	10747	2507910	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	5	63	跟爺爺說再見	2018-03-09	日本	采昌國際多媒體股份有限公司	SDP INC.	2018-05-14	2018-05-20	weekly	1	19	1580	NULL	11.0	7	1424	289570	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	5	64	玩命颶風	2018-03-08	美國	香港商甲上娛樂有限公司台灣分公司	FORESIGHTUNLIMITED	2018-05-14	2018-05-20	weekly	10	1753	121370	NULL	11.0	69	141633	31824717	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	5	65	鎌倉物語	2018-03-02	日本	中影股份有限公司	NIPPONTELEVISIONNETWORKCORPORATION	2018-05-14	2018-05-20	weekly	4	313	61830	NULL	12.0	33	44223	9822730	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	6	66	對頭冤家	2018-03-02	美國	采昌國際多媒體股份有限公司	(英國)FILM & TVHOUSE LIMITED	2018-05-14	2018-05-20	weekly	3	234	25020	NULL	12.0	18	3367	564356	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	6	67	閨蜜2	2018-03-02	香港	華映娛樂股份有限公司	(大陸)福建恒業影業有限公司##(大陸)福建真恒業文化傳播有限公司##(香港)香港恒業影業有限公司##(香港)無限動力實業有限公司##(香港)中國數碼娛樂有限公司##(大陸)完美星空傳媒有限公司##(大陸)深圳市視界浪潮傳媒有限公司## (大陸)中影新銳（北京）影業有限公司##(大陸)重慶電影集團有限公司##(大陸)北京新片場傳媒股份有限公司 ##(大陸)揚州廣播電視總台	2018-05-14	2018-05-20	weekly	6	243	24600	NULL	12.0	85	123497	28081634	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	6	68	淑女鳥	2018-02-28	美國	美商美國環球影片股份有限公司台灣分公司	UNIVERSALINTERNATIONALFILMS LLC	2018-05-14	2018-05-20	weekly	2	103	8350	NULL	12.0	30	33988	7859070	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	7	69	英雄本色2018	2018-02-28	中國大陸	海樂影業股份有限公司	北京京西文化旅游股份有限公司##北京耀萊影視文化傳媒有限公司##酷仔(上海)文化傳播有限公司##重慶水木誠德文化產業股權投資基金合伙企業(有限合伙)	2018-05-14	2018-05-20	weekly	1	31	6820	NULL	12.0	9	1600	403895	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	7	70	遊戲夜殺必死	2018-02-27	美國	美商華納兄弟（遠東）股份有限公司台灣分公司	WARNER BROS.PICTURESINTERNATIONAL.	2018-05-14	2018-05-20	weekly	7	1585	105590	NULL	12.0	78	88056	20048385	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	7	71	郵報:密戰	2018-02-23	美國	美商美國環球影片股份有限公司台灣分公司	UNIVERSALINTERNATIONALFILMS LLC	2018-05-14	2018-05-20	weekly	6	796	56180	NULL	13.0	77	108893	25191521	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	7	72	那才是我的世界	2018-02-23	南韓	車庫娛樂股份有限公司	CJ E&MCORPORATION	2018-05-14	2018-05-20	weekly	2	77	10430	NULL	13.0	25	6811	1520714	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	7	73	萌牛費迪南	2018-02-15	美國	美商廿世紀福斯影片股份有限公司台灣分公司	TWENTIETHCENTURY FOXINTERNATIONALCORPORATION.	2018-05-14	2018-05-20	weekly	3	937	49050	NULL	14.0	87	127037	28477113	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	7	74	西遊記女兒國	2018-02-15	香港	海樂影業股份有限公司	(香港)星皓影業(香港)有限公司##(大陸)星皓影業有限公司	2018-05-14	2018-05-20	weekly	2	86	8680	NULL	14.0	42	58928	13004921	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	8	75	角頭2：王者再起	2018-02-14	中華民國	理大國際多媒體股份有限公司	理大國際多媒體股份有限公司##柏合麗國際影業股份有限公司##能海電能科技股份有限公司##路得寶交通股份有限公司##鑫盛傳媒製作股份有限公司##鐵人文創娛樂有限公司##昇華娛樂傳播股份有限公司##捷泰精密工業股份有限公司##華人電通文化傳媒有限公司	2018-05-14	2018-05-20	weekly	11	1191	120180	NULL	14.0	79	555678	127166337	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	8	76	黑豹	2018-02-13	美國	台灣華特迪士尼股份有限公司	BUENA VISTAINTERNATIONAL,INC.	2018-05-14	2018-05-20	weekly	5	2209	124800	NULL	14.0	87	1561007	371933317	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	8	77	花甲大人轉男孩	2018-02-09	中華民國	威視股份有限公司	氧氣電影有限公司##藝碩文創股份有限公司##中環國際娛樂事業股份有限公司##樂到家國際娛樂股份有限公司##華映娛樂股份有限公司##秀泰國際娛樂有限公司##國賓影城股份有限公司##新光影城股份有限公司	2018-05-14	2018-05-20	weekly	8	1383	134195	NULL	15.0	89	455560	101945882	True
